croacia_probs,croacia_labels
0.7631056,0.0
0.35032102,0.0
0.9640408,1.0
0.36097702,0.0
0.56789196,0.0
0.5545231,1.0
0.34560063,0.0
0.860916,0.0
0.3185925,0.0
0.44090998,0.0
0.31266296,0.0
0.3134647,1.0
0.7701358,1.0
0.3296088,0.0
0.93218696,0.0
0.29745778,0.0
0.33876336,0.0
0.3432333,1.0
0.43626323,1.0
0.3069547,1.0
0.41554275,1.0
0.31158918,0.0
0.7387201,0.0
0.4559096,0.0
0.78758645,0.0
0.36791044,1.0
0.6812592,1.0
0.90282834,0.0
0.32805213,0.0
0.40696526,0.0
0.32787678,0.0
0.73874617,0.0
0.4266552,1.0
0.38939938,0.0
0.33303875,0.0
0.8092086,0.0
0.5161538,0.0
0.40151027,1.0
0.34723073,0.0
0.3434764,0.0
0.29596546,0.0
0.48105752,0.0
0.5520332,1.0
0.7931231,1.0
0.31821966,0.0
0.3453164,1.0
0.92732155,1.0
0.95492375,0.0
0.32872248,0.0
0.3540782,1.0
0.3505876,0.0
0.4558854,0.0
0.56122464,1.0
0.30782074,1.0
0.3191319,0.0
0.34828332,0.0
0.30286682,0.0
0.8361121,0.0
0.63562214,0.0
0.39046496,0.0
0.6878966,0.0
0.8866457,0.0
0.506464,0.0
0.5986706,0.0
0.36297646,0.0
0.3595512,1.0
0.5270932,0.0
0.6993333,0.0
0.33536106,0.0
0.8737855,1.0
0.3243657,0.0
0.5682578,0.0
0.95457494,1.0
0.9373185,0.0
0.33373734,0.0
0.6608118,0.0
0.76386136,1.0
0.3633939,0.0
0.5761503,1.0
0.41016883,1.0
0.767415,0.0
0.34907293,0.0
0.41809022,1.0
0.9003888,0.0
0.35640624,1.0
0.69496405,0.0
0.8215762,0.0
0.500906,0.0
0.5011032,0.0
0.35348707,1.0
0.34679708,0.0
0.6025433,0.0
0.598291,0.0
0.3723292,0.0
0.73308575,0.0
0.4299736,0.0
0.87037706,0.0
0.75771564,0.0
0.34215513,0.0
0.40393186,0.0
0.3957981,0.0
0.82459176,0.0
0.5236753,0.0
0.3219491,0.0
0.53289473,1.0
0.31611028,0.0
0.42142797,0.0
0.2982085,1.0
0.69992036,0.0
0.33115217,0.0
0.29724896,1.0
0.59156364,0.0
0.44143295,1.0
0.71623427,0.0
0.63498,0.0
0.3662898,0.0
0.4466991,0.0
0.38103974,1.0
0.6382408,0.0
0.3561096,0.0
0.40560174,0.0
0.7049583,1.0
0.41430703,1.0
0.360204,0.0
0.71156806,0.0
0.7799955,1.0
0.3211263,1.0
0.32923597,0.0
0.7361779,0.0
0.41734982,0.0
