validacion_probs,validacion_labels
0.23985626,0
0.2602315,0
0.2562123,0
0.70255363,0
0.24926957,0
0.8458297,0
0.24511975,0
0.27427894,0
0.280054,0
0.2640562,0
0.24916819,0
0.6825407,1
0.38591772,0
0.8380498,1
0.37392524,0
0.24139504,0
0.25768965,0
0.42127573,0
0.27572787,0
0.29264188,0
0.23011717,0
0.22583503,0
0.23171881,0
0.26489106,0
0.23519333,0
0.29550314,0
0.22794417,0
0.9809836,1
0.23866418,0
0.22693022,0
0.22319853,0
0.9077607,1
0.22031769,0
0.24677071,0
0.2411814,0
0.23383877,0
0.2580187,0
0.26979226,0
0.24833535,0
0.24045864,0
0.28760058,1
0.74469733,1
0.7538282,1
0.69341207,1
0.48728663,1
0.22552413,0
0.23351942,0
0.26175284,0
0.26051298,0
0.29963264,0
0.27146894,0
0.23787978,0
0.9589797,1
0.24373402,0
0.24628241,0
0.24017932,0
0.29183865,0
0.2603232,0
0.32350835,0
0.9560648,1
0.60591555,1
0.24164529,0
0.22393455,0
0.24574868,0
0.24828705,0
0.22614762,0
0.23639509,0
0.24495137,0
0.23371811,0
0.2725051,0
0.2283853,0
0.8605488,0
0.23402104,0
0.2850921,0
0.24368301,0
0.24072435,0
0.25503865,0
0.5229619,0
0.24780023,0
0.27187657,0
0.26129103,0
0.26674762,0
0.27391338,0
0.23110932,0
0.97574174,1
0.3112436,0
0.22710729,0
0.40922487,0
0.25394833,0
0.28362304,0
0.81720585,1
0.9690763,1
0.25392315,0
0.24132636,0
0.2788484,0
0.57572675,1
0.23640762,0
0.5606243,0
0.70285046,1
0.23150206,0
0.9745539,1
0.62963563,1
0.23953146,0
0.96167195,1
0.23362163,0
0.22944734,0
0.22828732,0
0.2726658,0
0.2517475,0
0.37040615,0
0.7012821,1
0.22159044,0
0.26342767,0
0.97821355,1
0.22595154,0
0.22560997,0
0.23935062,0
0.23665632,0
0.250391,0
0.70381796,1
0.24456473,0
0.23041147,0
0.23216549,0
0.28468066,0
0.24383369,0
0.23832393,0
0.84732413,1
0.26256603,0
0.45717347,0
0.4688445,0
0.2600556,0
0.9795151,1
0.29025507,0
0.24102503,0
0.43266124,1
0.2917763,0
0.22687767,0
0.2500748,0
0.23840034,0
0.6941962,1
0.30347377,0
0.221302,0
0.23255599,0
0.23454186,0
0.25196862,0
0.3014351,0
0.23546748,0
0.31997052,0
0.2416457,0
0.23192437,0
0.2452718,0
0.23679784,0
0.29231012,0
0.27299038,0
0.24425952,0
0.3408488,0
0.2915867,0
0.47125337,1
0.23954716,0
0.27446145,0
0.2686867,0
0.34951338,0
0.25164026,0
0.22891024,0
0.21864273,0
0.23075008,0
0.23418441,0
0.242623,0
0.24661857,0
0.24722269,0
0.25476584,0
0.2561072,0
0.22950216,0
0.2298829,0
0.23731907,0
0.47845694,0
0.28255245,0
0.78701353,1
0.9798131,1
0.8715898,1
0.23693189,0
0.98200303,1
0.7438717,1
0.9594381,1
0.7625742,1
0.23401591,0
0.2343372,0
0.7971411,1
