Case,GroundTruth,SwinProb,SwinPred,SwinFail,ViTProb,ViTPred,ViTFail,CNNProb,CNNPred,CNNFail
0002,0,0.4329,1,1,0.4044,0,0,0.5420,0,0
0049,1,0.4336,1,0,0.5023,0,1,0.5204,0,1
0080,1,0.2473,0,1,0.1101,0,1,0.3805,0,1
0087,1,0.3115,0,1,0.2274,0,1,0.5338,0,1
0091,0,0.5564,1,1,0.7220,1,1,0.6979,1,1
0142,0,0.5828,1,1,0.5002,0,0,0.7327,1,1
0194,0,0.4140,1,1,0.5759,1,1,0.5194,0,0
0262,0,0.3675,0,0,0.7155,1,1,0.5727,1,1
0326,0,0.3976,1,1,0.6371,1,1,0.7390,1,1
0361,0,0.4678,1,1,0.6066,1,1,0.7515,1,1
0432,0,0.3520,0,0,0.5453,1,1,0.7315,1,1
0434,0,0.4324,1,1,0.1458,0,0,0.4696,0,0
0493,0,0.4045,1,1,0.5181,1,1,0.6085,1,1
0505,0,0.5223,1,1,0.5962,1,1,0.6748,1,1
0521,1,0.2708,0,1,0.1721,0,1,0.4899,0,1
0522,1,0.3816,1,0,0.2030,0,1,0.7369,1,0
0534,0,0.2467,0,0,0.1594,0,0,0.6044,1,1
0579,0,0.4255,1,1,0.2905,0,0,0.6829,1,1
0586,0,0.4324,1,1,0.4218,0,0,0.4923,0,0
0613,0,0.4816,1,1,0.6859,1,1,0.7297,1,1
0647,0,0.2662,0,0,0.1182,0,0,0.6330,1,1
0678,0,0.4012,1,1,0.7279,1,1,0.4407,0,0
0685,0,0.3716,0,0,0.5304,1,1,0.4592,0,0
0696,0,0.5596,1,1,0.5121,0,0,0.7800,1,1
0724,1,0.3112,0,1,0.7173,1,0,0.2951,0,1
0742,0,0.5598,1,1,0.7491,1,1,0.7112,1,1
0750,0,0.5081,1,1,0.4692,0,0,0.2595,0,0
0787,0,0.5892,1,1,0.6168,1,1,0.7535,1,1
0794,0,0.3172,0,0,0.1705,0,0,0.5675,1,1
0798,0,0.3186,0,0,0.6150,1,1,0.6693,1,1
0832,0,0.4854,1,1,0.5143,1,1,0.7667,1,1
0852,0,0.7537,1,1,0.7414,1,1,0.7114,1,1
0869,1,0.6430,1,0,0.4161,0,1,0.6764,1,0
0891,0,0.2851,0,0,0.2824,0,0,0.6230,1,1
0910,0,0.7195,1,1,0.8760,1,1,0.9044,1,1
0950,0,0.4559,1,1,0.2872,0,0,0.3414,0,0
0952,0,0.4984,1,1,0.2720,0,0,0.3423,0,0
1033,0,0.3978,1,1,0.4841,0,0,0.5941,1,1
1037,0,0.3670,0,0,0.6835,1,1,0.3567,0,0
